tic_id,candidate_number,period,t0,duration_days,duration_hours,depth,depth_ppm,snr,n_transits,bls_power,tls_sde,bls_fap,tier,snr_category,TIC_ID,r_star,t_eff,crowdsap,stellar_activity_flag,vetting_passed,hard_rejection_cause,batman_fit,multiplicity_boost_applied,notes,class_label,confidence_planet,confidence_eb,confidence_blend,confidence_other,period_days,period_err,T0_btjd,T0_err,duration_err,depth_err,sde,Rp_Rs,Rp_Rs_err,a_Rs,a_Rs_err,impact_param,r_planet_earth,r_planet_err,orbital_distance_AU,t_eq_kelvin,odd_even_sigma,secondary_sigma,centroid_shift_arcsec,duration_ratio,flat_bottom_ratio
24693528,3,1.059989,1325.927632,0.070000,1.680000,0.001978,1977.591876,43.912189,26,3929.377571,0.000000,1.000000,false_positive,high,24693528,5.658360,8065.000000,0.997571,False,False,STELLAR_COMPANION,False,False,,STELLAR_COMPANION,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
29778225,2,1.401546,1325.314927,0.136101,3.266432,0.002042,2041.569189,43.574649,20,23369.062267,9.968480,1.000000,false_positive,high,29778225,1.893120,6303.000000,0.985373,False,False,ECLIPSING_BINARY_SECONDARY,False,False,,ECLIPSING_BINARY_SECONDARY,0.000000,1.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
24693528,4,1.060520,1325.637632,0.075000,1.800000,0.001728,1728.283897,41.793027,26,3262.846308,0.000000,1.000000,false_positive,high,24693528,5.658360,8065.000000,0.997571,False,False,STELLAR_COMPANION,False,False,,STELLAR_COMPANION,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
24693528,1,1.059989,1325.478882,0.062500,1.500000,0.002106,2105.818443,41.601408,26,4039.089844,0.000000,1.000000,false_positive,high,24693528,5.658360,8065.000000,0.997571,False,False,STELLAR_COMPANION,False,False,,STELLAR_COMPANION,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
30315127,5,1.397184,1326.039953,0.072500,1.740000,0.008330,8329.869163,41.325378,19,40013.977129,0.000000,1.000000,false_positive,high,30315127,4.943530,7931.000000,0.972004,False,False,STELLAR_COMPANION,False,False,,STELLAR_COMPANION,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
29257288,5,0.891949,1325.335232,0.067500,1.620000,0.004772,4771.981254,41.192193,31,1181.691279,0.000000,1.000000,false_positive,high,29257288,0.247312,3258.000000,0.843377,False,False,ECLIPSING_BINARY_SECONDARY,False,False,,ECLIPSING_BINARY_SECONDARY,0.000000,1.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
31381302,3,0.660820,1325.673683,0.070000,1.680000,0.005203,5202.925971,41.073485,42,1060.959956,0.000000,1.000000,false_positive,high,31381302,0.140898,2836.000000,0.834294,False,False,ECLIPSING_BINARY_SECONDARY,False,False,,ECLIPSING_BINARY_SECONDARY,0.000000,1.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
24695725,5,0.552449,1325.710382,0.035000,0.840000,1.741218,1741217.559965,40.827544,50,452453.615915,0.000000,1.000000,false_positive,high,24695725,0.239123,5778.000000,0.225391,True,False,STELLAR_COMPANION,False,False,,STELLAR_COMPANION,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
31105684,1,12.875717,1327.467025,1.128843,27.092229,0.007073,7072.971164,40.457210,2,679.365885,5.923880,1.000000,false_positive,high,31105684,1.000000,5778.000000,0.706253,True,False,ECLIPSING_BINARY_SECONDARY,False,False,,ECLIPSING_BINARY_SECONDARY,0.000000,1.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
25226885,5,1.629427,1325.933759,0.151748,3.641942,0.006176,6175.982932,39.403765,17,1730.987260,9.034415,1.000000,false_positive,high,25226885,1.528120,6222.000000,0.895186,False,False,ECLIPSING_BINARY_SECONDARY,False,False,,ECLIPSING_BINARY_SECONDARY,0.000000,1.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,
